,time,low,high,open,close,volume
0,1609430400,28580.0,28854.99,28820.87,28712.59,303.16719628
1,1609426800,28389.95,28868.35,28390.1,28820.86,1420.89879307
2,1609423200,28028.37,28573.96,28573.44,28390.1,1436.86509196
3,1609419600,28000.0,28671.28,28664.27,28573.44,2136.04342496
4,1609416000,28450.0,29010.7,28923.33,28674.91,1100.14028971
5,1609412400,28898.77,29152.47,29150.05,28923.78,685.07507198
6,1609408800,28967.63,29191.42,28998.98,29150.04,542.76776598
7,1609405200,28578.47,29100.0,28940.38,28999.63,803.08300318
8,1609401600,28794.45,29231.5,29175.08,28940.37,837.02316213
9,1609398000,28890.0,29297.0,28890.0,29175.08,691.50457
10,1609394400,28870.06,29090.67,28987.99,28891.74,804.75083196
11,1609390800,28751.06,29044.34,29041.36,28988.0,945.30200765
12,1609387200,28856.0,29200.0,29042.02,29044.34,947.57327642
13,1609383600,28725.63,29169.99,28731.03,29041.93,1025.7983985
14,1609380000,28578.0,28821.18,28764.68,28736.71,918.07898984
15,1609376400,28181.05,29190.33,29124.2,28765.81,2540.94451988
16,1609372800,28891.33,29321.9,28897.42,29124.2,1887.24031851
17,1609369200,28650.0,28937.93,28725.35,28897.42,802.4355811
18,1609365600,28600.0,28935.48,28916.17,28727.61,1321.16546435
19,1609362000,28567.08,29018.26,28798.16,28916.46,1452.96013192
20,1609358400,28627.63,29000.0,28806.78,28798.16,1982.42117029
21,1609354800,28469.0,28937.34,28525.78,28806.79,2248.93309212
22,1609351200,28250.27,28544.0,28251.9,28523.63,1418.62929357
23,1609347600,28045.75,28316.27,28140.07,28250.28,1201.60678675
24,1609344000,27900.0,28231.1,28153.9,28140.04,1005.69546615
25,1609340400,28027.2,28289.33,28187.98,28153.9,891.38797017
26,1609336800,27834.99,28187.99,27858.42,28187.99,813.62900743
27,1609333200,27756.75,28151.91,27847.01,27853.3,818.32038079
28,1609329600,27566.25,27940.75,27817.37,27847.51,465.38600355
29,1609326000,27564.35,27926.65,27833.22,27825.44,614.15696972
30,1609322400,27724.65,28051.09,27842.49,27833.22,423.82194901
31,1609318800,27311.73,27880.14,27719.73,27842.54,1013.99486134
32,1609315200,27600.0,28566.59,28359.63,27718.79,1679.15161865
33,1609311600,28255.0,28580.0,28356.26,28359.63,823.44586389
34,1609308000,27916.18,28543.0,28005.2,28364.54,1426.20166844
35,1609304400,27811.2,28133.87,27900.02,28007.56,1095.08275222
