,id,base_currency,quote_currency,base_min_size,base_max_size,quote_increment,base_increment,display_name,min_market_funds,max_market_funds,margin_enabled,post_only,limit_only,cancel_only,trading_disabled,status,status_message
0,LINK-BTC,LINK,BTC,0.10000000,6500.00000000,0.00000001,0.01000000,LINK/BTC,0.0001,6.0,False,False,False,False,False,online,
1,BAND-EUR,BAND,EUR,0.10000000,18000.00000000,0.00010000,0.01000000,BAND/EUR,1.0,100000,False,False,False,False,False,online,
2,EOS-BTC,EOS,BTC,0.10000000,50000.00000000,0.00000100,0.10000000,EOS/BTC,0.001,30,False,False,False,False,False,online,
3,ETH-DAI,ETH,DAI,0.01000000,700.00000000,0.01000000,0.00010000,ETH/DAI,10,100000,False,False,False,False,False,online,
4,ETC-USD,ETC,USD,0.10000000,20000.00000000,0.00100000,0.00000001,ETC/USD,10,100000,False,False,False,False,False,online,
5,COMP-USD,COMP,USD,0.01000000,1700.00000000,0.01000000,0.00100000,COMP/USD,1.0,100000,False,False,False,False,False,online,
6,WBTC-BTC,WBTC,BTC,0.00010000,10.00000000,0.00010000,0.00000001,WBTC/BTC,0.0001,10,False,False,True,False,False,online,
7,OMG-GBP,OMG,GBP,1.00000000,150000.00000000,0.00010000,0.10000000,OMG/GBP,1,100000,False,False,False,False,False,online,
8,XLM-EUR,XLM,EUR,1.00000000,600000.00000000,0.00000100,1.00000000,XLM/EUR,0.1,100000,False,False,False,False,False,online,
9,FIL-EUR,FIL,EUR,0.01000000,3400.00000000,0.00010000,0.00100000,FIL/EUR,1.0,84000,False,False,False,False,False,online,
10,ETH-BTC,ETH,BTC,0.01000000,2400.00000000,0.00001000,0.00000001,ETH/BTC,0.001,80,False,False,False,False,False,online,
11,MANA-USDC,MANA,USDC,1.00000000,2800000.00000000,0.00000100,1.00000000,MANA/USDC,0.1,100000,False,False,True,False,False,online,
12,ZEC-USD,ZEC,USD,0.01000000,1200.00000000,0.01000000,0.00001000,ZEC/USD,1.0,100000,False,False,False,False,False,online,
13,UMA-BTC,UMA,BTC,0.01000000,4500.00000000,0.00000001,0.00100000,UMA/BTC,0.0001,10,False,False,False,False,False,online,
14,XTZ-GBP,XTZ,GBP,1.00000000,100000.00000000,0.00001000,0.01000000,XTZ/GBP,10,100000,False,False,False,False,False,online,
15,CGLD-BTC,CGLD,BTC,0.10000000,34000.00000000,0.00000001,0.01000000,CGLD/BTC,0.0001,10,False,False,False,False,False,online,
16,BTC-USDC,BTC,USDC,0.00100000,280.00000000,0.01000000,0.00000001,BTC/USDC,10,1000000,False,False,False,False,False,online,
