<DATE>,amzn.us.txt,msft.us.txt,aapl.us.txt,intc.us.txt,gs_n.us.txt,spy.us.txt,ivv.us.txt,vxx.us.txt,eu.c.txt,xauusd.txt,gdx.us.txt,gld.us.txt
2020-01-02,1898.01,159.35,74.572,59.79600000000001,26.77,320.27,321.49,14.51,1.11716,1529.14,29.35,143.95
2020-01-03,1874.97,157.37,73.85,59.068000000000005,26.88,317.84,319.02,15.29,1.11575,1549.02,29.17,145.86
2020-01-06,1902.88,157.78,74.435,58.901,26.68,319.05,320.28,15.08,1.11965,1565.74,29.22,147.39
2020-01-07,1906.86,156.33,74.08800000000001,57.919,26.65,318.16,319.39,15.01,1.11515,1574.26,29.5,147.97
2020-01-08,1891.97,158.83,75.278,57.957,26.89,319.85,321.02,14.8,1.11046,1556.42,28.35,146.86
2020-01-09,1901.05,160.81,76.88,58.282,26.78,322.02,323.19,14.18,1.1105,1552.39,28.04,146.03
2020-01-10,1883.16,160.06,77.05,57.928999999999995,26.8701,321.09,322.29,14.12,1.11182,1560.3,28.45,146.91
2020-01-13,1891.3,162.0,78.69800000000001,58.567,27.0,323.3,324.55,13.76,1.11331,1547.89,27.77,145.82
2020-01-14,1869.44,160.85,77.635,58.41,27.07,322.81,324.04,13.66,1.1126200000000002,1546.44,28.26,145.69
2020-01-15,1862.02,161.9,77.3,57.928999999999995,27.09,323.54,324.78,13.62,1.11491,1556.29,28.79,146.54
2020-01-16,1877.94,164.86,78.27,58.637,27.04,326.22,327.48,13.29,1.11353,1552.48,28.67,146.31
2020-01-17,1864.72,165.78,79.138,58.577,27.11,327.24,328.55,13.32,1.10896,1557.07,28.42,146.58
2020-01-21,1892.0,165.19,78.6,59.511,27.18,326.6,327.85,13.43,1.10811,1558.21,28.95,146.74
2020-01-22,1887.46,164.39,78.88,61.653,27.36,326.64,327.92,13.54,1.1091799999999998,1558.9,28.84,146.79
2020-01-23,1884.58,165.41,79.26,62.233000000000004,26.87,327.02,328.32,13.49,1.1053,1562.91,28.66,147.12
2020-01-24,1861.64,163.73,79.032,67.294,26.96,324.1,325.34,14.24,1.10228,1571.66,29.22,147.98
2020-01-27,1828.34,161.0,76.71,64.563,26.8002,318.91,320.06,15.71,1.10181,1582.04,29.08,148.99
2020-01-28,1853.25,164.15,78.878,66.155,26.66,322.25,323.47,14.83,1.10212,1567.29,28.31,147.66
2020-01-29,1858.0,166.71,80.53,65.191,26.57,321.99,323.24,14.85,1.10094,1576.82,28.86,148.46
2020-01-30,1870.68,171.42,80.41199999999999,65.328,26.6,323.04,324.21,14.6,1.1030200000000001,1574.47,28.73,148.47
2020-01-31,2008.72,168.89,76.85,62.833,26.56,317.16,318.45,16.2,1.1093600000000001,1586.88,28.99,149.33
2020-02-03,2004.2,173.01,76.638,63.31399999999999,26.43,319.52,320.73,15.58,1.1060299999999998,1576.74,28.56,148.36
2020-02-04,2049.67,178.7,79.168,64.336,26.37,324.39,325.71,14.83,1.10436,1552.91,28.05,146.43
2020-02-05,2039.87,178.48,79.81,66.185,26.36,328.15,329.34,14.2,1.09981,1555.99,28.05,146.61
2020-02-06,2050.23,182.18,80.745,66.263,26.31,329.24,330.59,14.09,1.09804,1566.73,28.4,147.4
2020-02-07,2079.28,182.44,79.65,65.206,26.29,327.49,328.8,14.38,1.0943399999999999,1570.19,27.93,147.79
2020-02-10,2133.91,187.22,80.025,65.572,26.3259,329.94,331.24,14.1,1.09105,1572.15,28.39,148.17
2020-02-11,2150.8,182.99,79.545,66.579,26.39,330.51,331.85,14.12,1.09148,1567.93,28.43,147.66
2020-02-12,2160.0,183.26,81.432,66.628,26.38,332.64,333.98,13.4,1.08722,1566.09,28.12,147.54
2020-02-13,2149.87,182.26,80.852,66.609,26.44,332.28,333.56,13.69,1.08389,1576.01,28.32,148.38
2020-02-14,2134.87,183.9,80.872,66.441,26.47,332.82,334.05,13.52,1.08294,1582.65,28.31,149.0
2020-02-18,2155.67,185.75,79.392,65.324,26.49,331.96,333.25,13.76,1.07905,1601.62,29.23,150.91
2020-02-19,2170.22,186.31,80.542,66.283,26.26,333.54,334.85,13.56,1.08044,1611.76,29.75,151.79
2020-02-20,2153.1,183.47,79.718,64.643,26.35,332.17,333.47,14.04,1.0783,1619.63,29.75,152.41
2020-02-21,2095.97,177.66,77.91,63.547,26.33,328.74,330.06,14.9,1.08457,1643.37,30.65,154.7
2020-02-24,2009.29,170.01,74.21,60.998999999999995,26.1,317.85,319.03,17.67,1.08524,1659.41,31.05,156.09
2020-02-25,1972.74,167.2,71.695,58.993,26.03,308.22,309.47,19.34,1.088,1635.21,29.97,153.3
2020-02-26,1979.59,169.29,72.832,58.915,26.05,307.08,308.28,18.93,1.08796,1640.98,29.87,153.97
2020-02-27,1884.3,157.36,68.072,55.141999999999996,26.1,293.3,294.28,22.0,1.09994,1645.0,28.15,154.0
2020-02-28,1883.75,161.17,68.032,54.836000000000006,25.81,292.06,291.53,22.81,1.10248,1577.4,26.22,148.38
2020-03-02,1953.95,171.89,74.365,57.463,26.26,304.71,305.81,22.03,1.11322,1589.37,27.29,149.2
2020-03-03,1908.99,163.65,72.005,55.281000000000006,26.291999999999998,295.98,297.03,24.45,1.11701,1640.92,28.68,153.89
2020-03-04,1975.83,169.67,75.345,57.956,26.27,308.42,310.09,23.0,1.1134,1636.97,29.13,154.16
2020-03-05,1924.03,165.41,72.9,56.258,26.32,298.18,299.26,26.68,1.1234899999999999,1672.21,29.82,157.49
2020-03-06,1901.09,160.73,71.932,55.083,26.21,293.25,294.27,29.82,1.12836,1673.21,29.41,157.55
2020-03-09,1800.61,149.84,66.242,50.223,25.86,270.34,270.73,36.96,1.14357,1678.8,27.31,157.81
2020-03-10,1891.82,160.08,71.015,53.315,25.93,284.33,285.26,34.11,1.1279700000000001,1650.35,27.49,154.48
2020-03-11,1820.86,152.83,68.55,51.023,25.75,270.47,271.39,38.66,1.12678,1637.57,25.17,153.93
2020-03-12,1676.61,138.34,61.778,44.979,25.01,244.6,245.27,47.36,1.1183,1577.89,22.31,147.79
