<DATE>,amzn.us.txt,msft.us.txt,aapl.us.txt,intc.us.txt,gs_n.us.txt,spy.us.txt,ivv.us.txt,vxx.us.txt,eu.c.txt,xauusd.txt,gdx.us.txt,gld.us.txt
1997-05-16,1.73,10.383,0.133,14.478,,,,,1.1557,344.15,,
1997-05-19,1.71,10.353,0.13112000000000001,14.450999999999999,,,,,1.145,341.65,,
1997-05-20,1.64,10.710999999999999,0.133,15.029000000000002,,,,,1.1659,342.95,,
1997-05-21,1.43,10.825,0.13022,15.172,,,,,1.1539,342.54,,
1997-05-22,1.4,10.847999999999999,0.12845,15.062000000000001,,,,,1.1541,342.85,,
1997-05-23,1.5,11.048,0.13022,15.235,,,,,1.1549,342.6,,
1997-05-27,1.58,11.386,0.133,15.806,,,,,1.1468,343.65,,
1997-05-28,1.53,11.322000000000001,0.13112000000000001,15.602,,,,,1.1539,344.5,,
1997-05-29,1.51,11.322000000000001,0.12845,15.29,,,,,1.1529,344.35,,
1997-05-30,1.5,11.155,0.12845,14.142999999999999,,,,,1.1467,344.75,,
1997-06-02,1.51,11.187999999999999,0.13082,13.975999999999999,,,,,1.1304,343.95,,
1997-06-03,1.48,10.856,0.12875,13.534,,,,,1.1322,343.45,,
1997-06-04,1.42,10.719000000000001,0.12845,13.302,,,,,1.1315,341.64,,
1997-06-05,1.54,10.841,0.12875,13.360999999999999,,,,,1.1317,342.45,,
1997-06-06,1.66,11.155,0.1293,13.630999999999998,,,,,1.1341,,,
1997-06-09,1.69,11.249,0.12845,13.934000000000001,,,,,1.1462,344.0,,
1997-06-10,1.58,11.225,0.12525,13.556,,,,,1.1382,343.95,,
1997-06-11,1.54,11.417,0.12587,13.765999999999998,,,,,1.1399,344.14,,
1997-06-12,1.6,11.417,0.12375,13.405999999999999,,,,,1.1314,342.25,,
1997-06-13,1.58,11.655999999999999,0.12222000000000001,13.511,,,,,1.1264,341.54,,
1997-06-16,1.57,11.81,0.11974000000000001,13.743,,,,,1.1297,342.0,,
1997-06-17,1.51,12.068,0.12587,13.975999999999999,,,,,1.13,341.75,,
1997-06-18,1.51,11.709000000000001,0.12282,13.684000000000001,,,,,1.1285,340.15,,
1997-06-19,1.51,11.625,0.12162,13.668,,,,,1.1349,339.14,,
1997-06-20,1.53,11.683,0.12003,13.7,,,,,1.1322,337.55,,
1997-06-23,1.5,11.514000000000001,0.1188,13.556,,,,,1.1381,339.05,,
1997-06-24,1.51,11.874,0.11822,13.818,,,,,1.1349,337.85,,
1997-06-25,1.51,11.735,0.11664000000000001,13.693,,,,,1.1349,337.45,,
1997-06-26,1.51,11.530999999999999,0.11325999999999999,13.413,,,,,1.1335,338.25,,
1997-06-27,1.49,11.467,0.11325999999999999,13.277999999999999,,,,,1.1249,334.75,,
1997-06-30,1.54,11.364,0.10985999999999999,13.242,,,,,1.1207,334.0,,
1997-07-01,1.52,11.231,0.10153999999999999,12.979000000000001,,,,,1.1199,334.05,,
1997-07-02,1.59,11.546,0.10092000000000001,13.345,,,,,1.1153,331.55,,
1997-07-03,1.91,11.649000000000001,0.10554000000000001,13.526,,,,,1.1165,324.75,,
1997-07-07,2.0,11.642000000000001,0.10678,13.757,,,,,1.1158,318.65,,
1997-07-08,2.3,11.802,0.10615999999999999,13.969000000000001,,,,,1.1107,320.25,,
1997-07-09,2.32,11.757,0.10554000000000001,14.245,,,,,1.1113,318.25,,
1997-07-10,2.56,11.683,0.10215,14.012,,,,,1.1168,319.65,,
1997-07-11,2.29,11.665,0.11696,14.357000000000001,,,,,1.1006,321.55,,
1997-07-14,2.14,12.228,0.12032000000000001,14.702,,,,,1.0885,319.75,,
1997-07-15,2.44,12.452,0.12282,15.106,,,,,1.0915,318.05,,
1997-07-16,2.33,13.350999999999999,0.12687,16.495,,,,,1.0923,318.0,,
1997-07-17,2.22,13.447000000000001,0.1352,16.39,,,,,1.0907,324.0,,
1997-07-18,2.16,12.64,0.13362000000000002,16.137,,,,,1.092,326.25,,
1997-07-21,2.18,12.228,0.12465999999999999,16.000999999999998,,,,,1.0891,326.65,,
1997-07-22,2.14,12.959000000000001,0.1278,16.570999999999998,,,,,1.0726,325.6,,
1997-07-23,2.29,12.716,0.12435999999999998,16.677,,,,,1.0714,322.0,,
1997-07-24,2.26,12.412,0.12222000000000001,16.756,,,,,1.0662,324.0,,
1997-07-25,2.23,12.452,0.12525,16.652,,,,,1.0639,325.75,,
1997-07-28,2.32,12.324000000000002,0.12687,16.533,,,,,1.0609,327.4,,
1997-07-29,2.48,12.58,0.12718,16.451,,,,,1.065,325.85,,
1997-07-30,2.45,12.692,0.13395,16.683,,,,,1.0649,326.45,,
1997-07-31,2.4,12.716,0.1352,17.141,,,,,1.064,324.55,,
1997-08-01,2.42,12.645,0.14785,17.474,,,,,1.0503,324.75,,
1997-08-04,2.31,12.732000000000001,0.15242,18.06,,,,,1.0481,323.95,,
1997-08-05,2.21,12.886,0.15242,18.61,,,,,1.0403,319.25,,
1997-08-06,2.25,12.904000000000002,0.2031,18.685,,,,,1.0396,319.75,,
1997-08-07,2.18,12.940999999999999,0.22498,18.685,,,,,1.0468,321.85,,
1997-08-08,2.29,12.59,0.20701999999999998,18.258,,,,,1.0601,325.85,,
1997-08-11,2.33,12.434000000000001,0.1895,17.942,,,,,1.0493,328.65,,
1997-08-12,2.2,12.228,0.1701,17.794,,,,,1.0494,326.95,,
1997-08-13,2.2,12.237,0.18245,17.996,,,,,1.0662,328.25,,
1997-08-14,2.16,12.254000000000001,0.17745,17.899,,,,,1.0632,325.0,,
1997-08-15,2.11,11.947000000000001,0.17928,17.202,,,,,1.0742,324.5,,
1997-08-18,2.04,12.035,0.18245,17.66,,,,,1.0661,321.45,,
1997-08-19,2.17,12.485999999999999,0.18858,18.283,,,,,1.0629,323.35,,
1997-08-20,2.17,12.64,0.1901,18.761,,,,,1.0539,321.25,,
1997-08-21,2.11,12.397,0.1852,18.362000000000002,,,,,1.0657,323.35,,
1997-08-22,2.12,12.341,0.18245,17.956,,,,,1.0752,,,
1997-08-25,2.22,12.277000000000001,0.17778,17.584,,,,,1.0752,324.7,,
1997-08-26,2.34,12.14,0.17155,17.308,,,,,1.088,325.75,,
1997-08-27,2.32,12.1,0.175,17.561,,,,,1.084,325.45,,
1997-08-28,2.38,11.874,0.16978,17.245,,,,,1.0897,323.95,,
1997-08-29,2.34,11.890999999999998,0.1679,17.202,,,,,1.0813,324.15,,
1997-09-02,2.35,12.341,0.17252,17.747,,,,,1.0659999999999998,322.75,,
1997-09-03,2.33,12.285,0.17338,17.515,,,,,1.0752,322.05,,
1997-09-04,2.55,12.427,0.17338,17.667,,,,,1.0775,321.35,,
1997-09-05,2.5,12.349,0.17095,17.66,,,,,1.0855,322.25,,
1997-09-08,3.0,12.527999999999999,0.166,17.914,,,,,1.0823,321.95,,
1997-09-09,3.24,12.549000000000001,0.16852,18.25,,,,,1.0782,321.5,,
1997-09-10,3.3,12.149000000000001,0.17715,17.831,,,,,1.0878,321.45,,
1997-09-11,3.16,12.3,0.17252,17.787,,,,,1.0983,324.05,,
1997-09-12,3.69,12.402999999999999,0.1701,17.596,,,,,1.1044,323.75,,
1997-09-15,3.09,11.757,0.166,17.184,,,,,1.1111,322.95,,
1997-09-16,3.35,12.261,0.16948,17.892,,,,,1.1054,320.75,,
1997-09-17,3.41,11.981,0.16852,17.86,,,,,1.1036,320.25,,
1997-09-18,3.29,11.890999999999998,0.17218,17.732,,,,,1.0994,320.65,,
1997-09-19,3.95,12.155999999999999,0.16948,17.815,,,,,1.1019,320.85,,
1997-09-22,4.5,11.99,0.17622000000000002,17.996,,,,,1.0918,320.95,,
1997-09-23,4.62,12.19,0.1679,18.506,,,,,1.0903,321.95,,
1997-09-24,4.38,11.907,0.166,17.851,,,,,1.1029,323.65,,
1997-09-25,4.08,11.937999999999999,0.16297999999999999,17.389,,,,,1.1115,327.15,,
1997-09-26,4.17,11.999,0.16448,17.372,,,,,1.1123,326.75,,
1997-09-29,4.04,12.092,0.1701,17.808,,,,,1.1103,328.25,,
1997-09-30,4.34,11.899000000000001,0.1673,17.238,,,,,1.1118,334.45,,
1997-10-01,4.02,12.035,0.166,17.413,,,,,1.1023,334.0,,
1997-10-02,4.01,11.981,0.16948,17.389,,,,,1.1034,331.45,,
1997-10-03,4.02,12.132,0.17072,17.42,,,,,1.1139,334.85,,
1997-10-06,4.12,12.149000000000001,0.16948,17.456,,,,,1.1125,332.55,,
1997-10-07,4.06,12.285,0.16852,17.787,,,,,1.1128,331.25,,
1997-10-08,4.01,12.504000000000001,0.166,17.66,,,,,1.1186,333.25,,
1997-10-09,3.75,12.495,0.1679,17.683,,,,,1.1218,327.25,,
1997-10-10,3.9,12.277000000000001,0.175,17.364,,,,,1.1177,329.65,,
1997-10-13,4.0,12.3,0.175,17.285999999999998,,,,,1.1174,328.45,,
1997-10-14,3.98,12.293,0.175,17.141,,,,,1.1166,327.95,,
1997-10-15,3.92,12.204,0.18398,16.18,,,,,1.1193,326.95,,
1997-10-16,3.62,12.042,0.166,15.940999999999999,,,,,1.1201,325.85,,
1997-10-17,3.62,11.890999999999998,0.15522,15.5,,,,,1.1034,325.05,,
1997-10-20,3.82,11.922,0.14412,15.693,,,,,1.1035,323.65,,
1997-10-21,4.43,12.452,0.14687999999999998,15.897,,,,,1.0932,322.9,,
1997-10-22,4.52,12.204,0.14325,15.672,,,,,1.0954,322.45,,
1997-10-23,4.5,12.197000000000001,0.13699999999999998,15.29,,,,,1.1069,323.65,,
1997-10-24,5.03,12.172,0.1278,14.937000000000001,,,,,1.1008,310.35,,
1997-10-27,4.27,11.588,0.1293,13.955,,,,,1.1167,311.85,,
1997-10-28,4.95,11.999,0.13982,15.867,,,,,1.124,315.75,,
1997-10-29,5.39,11.770999999999999,0.1352,14.981,,,,,1.1317,313.85,,
1997-10-30,5.12,11.572000000000001,0.12718,14.142999999999999,,,,,1.1392,316.45,,
1997-10-31,5.08,11.692,0.13145,14.370999999999999,,,,,1.1343,311.45,,
1997-11-03,5.07,12.06,0.13395,14.661,,,,,1.1266,313.45,,
1997-11-04,4.96,12.075,0.13858,14.177,,,,,1.1355,313.85,,
1997-11-05,4.88,12.014000000000001,0.14165,13.934000000000001,,,,,1.1389,313.55,,
1997-11-06,4.66,11.874,0.14655,13.724,,,,,1.1353,312.45,,
1997-11-07,4.48,11.835999999999999,0.15242,14.459000000000001,,,,,1.1462,310.25,,
1997-11-10,4.21,11.709000000000001,0.14412,14.027999999999999,,,,,1.1476,310.15,,
1997-11-11,3.95,11.749,0.14165,14.237,,,,,1.1449,309.75,,
1997-11-12,3.77,11.617,0.13612,13.989,,,,,1.1386,307.45,,
1997-11-13,3.86,11.835999999999999,0.13892000000000002,14.556,,,,,1.1338,307.85,,
1997-11-14,4.17,11.99,0.14228,14.702,,,,,1.1318,303.35,,
1997-11-17,4.38,12.132,0.14257999999999998,15.019,,,,,1.1298,303.85,,
1997-11-18,4.42,12.050999999999998,0.13925,14.702,,,,,1.1315,306.75,,
1997-11-19,4.51,12.149000000000001,0.14072,14.764000000000001,,,,,1.1295,303.95,,
1997-11-20,4.58,12.308,0.14257999999999998,15.097999999999999,,,,,1.124,302.85,,
1997-11-21,4.49,12.397,0.14012,14.981,,,,,1.1252,304.95,,
1997-11-24,4.23,12.19,0.13612,14.584000000000001,,,,,1.1253,302.95,,
1997-11-25,4.2,12.504000000000001,0.13395,14.27,,,,,1.1177,300.55,,
1997-11-26,4.26,12.732000000000001,0.1352,14.308,,,,,1.1114,296.55,,
1997-11-28,4.12,12.724,0.13699999999999998,14.492,,,,,1.1087,297.0,,
1997-12-01,4.27,12.933,0.13699999999999998,15.21,,,,,1.1011,293.85,,
1997-12-02,4.23,12.789000000000001,0.12253,14.578,,,,,1.1004,293.65,,
1997-12-03,4.36,13.015,0.12162,14.661,,,,,1.1034,292.35,,
1997-12-04,4.5,12.823,0.12032000000000001,14.315999999999999,,,,,1.1043,286.25,,
1997-12-05,4.59,12.87,0.12222000000000001,14.478,,,,,1.0977,288.25,,
1997-12-08,4.71,13.144,0.12003,14.645,,,,,1.0929,287.85,,
1997-12-09,4.69,12.982999999999999,0.11757999999999999,14.119000000000002,,,,,1.0922,282.75,,
1997-12-10,4.51,12.789000000000001,0.11387,13.948,,,,,1.0946,286.65,,
1997-12-11,4.69,12.512,0.11234000000000001,13.405999999999999,,,,,1.1106,284.05,,
1997-12-12,4.54,12.3,0.10894000000000001,13.159,,,,,1.1023,282.85,,
1997-12-15,4.58,12.245,0.1074,13.468,,,,,1.1014,284.35,,
1997-12-16,4.46,12.512,0.11048,13.294,,,,,1.0982,283.75,,
1997-12-17,4.39,12.197000000000001,0.1074,12.979000000000001,,,,,1.1028,289.15,,
1997-12-18,4.29,11.770999999999999,0.10678,12.904000000000002,,,,,1.1025,287.35,,
1997-12-19,4.5,11.572000000000001,0.10554000000000001,13.069,,,,,1.1017,289.05,,
1997-12-22,4.7,11.417,0.10278,13.337,,,,,1.0985,291.1,,
1997-12-23,4.62,11.089,0.09969,13.106,,,,,1.1022,293.75,,
1997-12-24,4.6,10.696,0.10123,13.112,,,,,1.1042,296.2,,
1997-12-26,4.52,10.856,0.10278,13.234000000000002,,,,,1.1028,295.25,,
1997-12-29,4.75,11.364,0.10123,13.219000000000001,,,,,1.0932,291.0,,
1997-12-30,4.85,11.718,0.10153999999999999,13.384,,,,,1.0936,290.3,,
1997-12-31,5.02,11.625,0.10123,13.112,,,,,1.0874,288.8,,
1998-01-02,4.96,11.793,0.12525,13.556,,,,,1.0845,288.25,,
1998-01-05,4.75,11.727,0.12253,13.91,,,,,1.0714,281.85,,
1998-01-06,4.84,11.793,0.1462,13.652000000000001,,,,,1.0679,281.45,,
1998-01-07,4.78,11.649000000000001,0.1352,13.58,,,,,1.0726,283.85,,
1998-01-08,4.61,11.743,0.14012,13.870999999999999,,,,,1.073,280.95,,
