<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EURUSD,D,19710104,000000,0.5353,0.5353,0.5353,0.5353,0,0
EURUSD,D,19710105,000000,0.535,0.535,0.535,0.535,0,0
EURUSD,D,19710106,000000,0.5352,0.5352,0.5352,0.5352,0,0
EURUSD,D,19710107,000000,0.5353,0.5353,0.5353,0.5353,0,0
EURUSD,D,19710108,000000,0.5354,0.5354,0.5354,0.5354,0,0
EURUSD,D,19710111,000000,0.5355,0.5355,0.5355,0.5355,0,0
EURUSD,D,19710112,000000,0.5356,0.5356,0.5356,0.5356,0,0
EURUSD,D,19710113,000000,0.5357,0.5357,0.5357,0.5357,0,0
EURUSD,D,19710114,000000,0.5359,0.5359,0.5359,0.5359,0,0
EURUSD,D,19710115,000000,0.536,0.536,0.536,0.536,0,0
EURUSD,D,19710118,000000,0.5363,0.5363,0.5363,0.5363,0,0
EURUSD,D,19710119,000000,0.5363,0.5363,0.5363,0.5363,0,0
EURUSD,D,19710120,000000,0.5368,0.5368,0.5368,0.5368,0,0
EURUSD,D,19710121,000000,0.537,0.537,0.537,0.537,0,0
EURUSD,D,19710122,000000,0.5371,0.5371,0.5371,0.5371,0,0
EURUSD,D,19710125,000000,0.5372,0.5372,0.5372,0.5372,0,0
EURUSD,D,19710126,000000,0.5372,0.5372,0.5372,0.5372,0,0
EURUSD,D,19710127,000000,0.5372,0.5372,0.5372,0.5372,0,0
EURUSD,D,19710128,000000,0.5371,0.5371,0.5371,0.5371,0,0
EURUSD,D,19710129,000000,0.5371,0.5371,0.5371,0.5371,0,0
EURUSD,D,19710201,000000,0.5369,0.5369,0.5369,0.5369,0,0
EURUSD,D,19710202,000000,0.5369,0.5369,0.5369,0.5369,0,0
EURUSD,D,19710203,000000,0.5371,0.5371,0.5371,0.5371,0,0
EURUSD,D,19710204,000000,0.5372,0.5372,0.5372,0.5372,0,0
EURUSD,D,19710205,000000,0.5371,0.5371,0.5371,0.5371,0,0
EURUSD,D,19710208,000000,0.5371,0.5371,0.5371,0.5371,0,0
EURUSD,D,19710209,000000,0.5372,0.5372,0.5372,0.5372,0,0
EURUSD,D,19710210,000000,0.537,0.537,0.537,0.537,0,0
EURUSD,D,19710211,000000,0.5369,0.5369,0.5369,0.5369,0,0
EURUSD,D,19710216,000000,0.5372,0.5372,0.5372,0.5372,0,0
EURUSD,D,19710217,000000,0.5372,0.5372,0.5372,0.5372,0,0
EURUSD,D,19710218,000000,0.5371,0.5371,0.5371,0.5371,0,0
EURUSD,D,19710219,000000,0.5371,0.5371,0.5371,0.5371,0,0
EURUSD,D,19710222,000000,0.5372,0.5372,0.5372,0.5372,0,0
EURUSD,D,19710223,000000,0.5372,0.5372,0.5372,0.5372,0,0
EURUSD,D,19710224,000000,0.5372,0.5372,0.5372,0.5372,0,0
EURUSD,D,19710225,000000,0.5371,0.5371,0.5371,0.5371,0,0
EURUSD,D,19710226,000000,0.5363,0.5363,0.5363,0.5363,0,0
EURUSD,D,19710301,000000,0.5368,0.5368,0.5368,0.5368,0,0
EURUSD,D,19710302,000000,0.537,0.537,0.537,0.537,0,0
EURUSD,D,19710303,000000,0.5373,0.5373,0.5373,0.5373,0,0
EURUSD,D,19710304,000000,0.5369,0.5369,0.5369,0.5369,0,0
EURUSD,D,19710305,000000,0.537,0.537,0.537,0.537,0,0
EURUSD,D,19710308,000000,0.5372,0.5372,0.5372,0.5372,0,0
EURUSD,D,19710309,000000,0.5372,0.5372,0.5372,0.5372,0,0
EURUSD,D,19710310,000000,0.5371,0.5371,0.5371,0.5371,0,0
